Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
linden,4131,B2,Adjektiv,aus Lindenholz bestehend oder gemacht,,,"Dieses lindene Scheit wurde unter idealsten Bedingungen sieben Jahre lang gelagert und erreicht jetzt langsam den Zustand, um es mit der bestmöglichen Qualität weiter verarbeiten zu können."
käuflich,4132,B2,Adjektiv,durch Kauf zu erwerben,durch Kauf zu erwerben | bestechlich,"bestechlich, erwerbbar","Für die käufliche Liebe gibt es viele Orte, am bekanntesten dürfte die Herbertstraße in der Nähe der Reeperbahn in St. Pauli sein."
voreingenommen,4133,B2,Adjektiv,"durch eine vorgefasste Meinung subjektiv, Vorurteile besitzend","von einer vorgefassten Meinung ausgehend, in Vorurteilen befangen",,Der voreingenommene Journalist schrieb einen äußerst subjektiven Bericht über die Gerichtsverhandlung.
kränken,4134,B2,Verb,jemandes Gefühle verletzen,"jmdn. in seinen Gefühlen, seinem Selbstgefühl verletzen | sich grämen, Kummer empfinden",,Sein Fernbleiben von der Feier kränkte die Gastgeberin sehr.
hälften,4135,B2,Verb,in zwei  Teile trennen,halbieren,"halbieren, zweiteilen","„Das Schwein schöpft Verdacht, schon bald riecht es das Blut toter Tiere, die ausgenommen, gehälftet und mit Lastwagen abtransportiert werden.“"
schütten,4136,B2,Verb,etwas durch starkes Kippen aus einem Gefäß entfernen,"etw. aus etw. heraus und in, auf, über etw. fließen, rinnen lassen, gießen, besonders von Flüssigkeiten, von pulvrigen und körnigen Stoffen | etw. in größerer Menge ungeordnet auf einen Haufen werfen | etw. ist ertragreich, ergiebig",,Ich schütte Wasser auf den Boden.
zwischendurch,4137,B2,Adverb,in sich unregelmäßig immer mal wiederholenden Abständen,"innerhalb, während eines durch zwei Zeitpunkte begrenzten Zeitraums, in der Zwischenzeit | stellenweise, hier und da",,Die Linie wird zwischendurch von Markierungen unterbrochen.
knöpfen,4138,B2,Verb,mit Knöpfen  verschließen/öffnen oder befestigen,"etw. mit Knöpfen öffnen, schließen | sich in etw. einhüllen und es zuknöpfen",,Das Kleid wird hinten geknöpft.
gackern,4139,B2,Verb,die von Hühnern hervorgebrachten Laute von sich geben,"wiederholt kurze Rufe hervorbringen | (abgehackt, ausgelassen, bisweilen laut) lachen | über etwas schwatzen, klatschen",,"Hühner gackern laut, wenn sie sich gestört fühlen."
befestigen,4140,B2,Verb,an etwas fest anbringen,"etw. an etw. festmachen, mit etw. fest verbinden | etw. fest, dauerhaft machen | etw., jmdn. stärken","befesten, fortifizieren, verschanzen",Ich befestige jetzt das Bild an der Wand.
zuallererst,4141,B2,Adverb,"vor allem/allen anderen, an absolut erster Stelle, als Erste/Erster/Erstes überhaupt, ganz zuerst",ganz zuerst,zuerst,"Wenn wir in den Sommerferien zu Oma nach Duisburg fahren, gehen wir zuallererst in den Zoo."
bewohnt,4142,B2,Adjektiv,nicht leer stehend,etw. als Wohnraum nutzen,"besiedelt, bevölkert",Neben Bikini wurden auch die bewohnten Atolle Rongelap und Rongerik durch radioaktiven Niederschlag kontaminiert.
rational,4143,B2,Adjektiv,"mit dem Verstand, der Vernunft zu tun habend","vom Verstand ausgehend, bestimmt","vernunftgemäß, vernünftig, verstandesmäßig, gebrochen, Bruch",In diesem Zustand war er keinen rationalen Argumenten mehr zugänglich.
duzen,4144,B2,Verb,mit du anreden,jmdn. mit Du anreden,"Duzfreundin, Duzbruder, Du, Duzfreundschaft",Seit wann duzen Schüler ihre Lehrer?
zugehen,4145,B2,Verb,in die Richtung von jemandem oder etwas gehen,"sich zu Fuß in Richtung auf ein Ziel bewegen | ein Gespräch, Kontakt zu jmdm. suchen | aktiv werden, um ein Ziel zu erreichen","schließen, zulaufen, hingehen, beeilen, erhalten",Die Förster gingen langsam auf das verletzte Reh zu.
oho,4146,B2,Intj,"Ausruf des Erstaunens, des Unwillens, des Widerspruchs",,,"Oho, da liegt der Hase im Pfeffer!"
prahlen,4147,B2,Verb,sich übertrieben oder unangemessen loben,sich einer Sache rühmen,"protzen, angeben, hochstapeln, bramarbasieren, den Mund voll nehmen",Du willst wohl mit deinem neuen Auto prahlen?
beschädigen,4148,B2,Verb,etwas einen Schaden zufügen,"etw. schadhaft machen, einer Sache Schaden zufügen | jmdm. eine Verletzung zufügen",,"Wenn Sie die Ware beschädigt haben, müssen Sie sie kaufen."
fechten,4149,B2,Verb,mit Klingen  kämpfen,"mit Hiebwaffen, Stoßwaffen (gegeneinander) kämpfen | kämpfen | betteln",betteln,Ich fechte seit meinem zwölften Lebensjahr.
unbrauchbar,4150,B2,Adjektiv,"so, dass man es nicht gebrauchen kann","nicht zu gebrauchen, nicht zu verwenden | jmd. ist für etw. ungeeignet","unnütz, untauglich","Dieses Gerät sieht zwar toll aus, ist für unsere Zwecke aber völlig unbrauchbar."
losziehen,4151,B2,Verb,zu einer gemeinsamen amüsanten Unternehmung aufbrechen,"losgehen, aufbrechen | über jmdn., etw. herziehen","schlechtmachen, losgehen, aufbrechen, schimpfen","Bei der Verleihung der Emmy Awards am Montagabend klärte er die Journalisten über den Stand der Dinge auf: „Sie sind einfach losgezogen und haben geheiratet und ich weiß nicht, wo das Problem liegt.“"
bemitleiden,4152,B2,Verb,mit jemandem oder etwas Mitleid empfinden,"mit jmdm., etw. Mitleid empfinden",,"Ich bemitleide den armen Kerl, der sich bei dem Unfall das Bein gebrochen hat."
fortgeschritten,4153,B2,Adjektiv,"nicht mehr am Anfang stehend, sich in einem weiterentwickelten Stadium befindend","auf einer höheren Stufe der Entwicklung befindlich, höherentwickelt",,"„Vor neun Jahrzehnten erlitt das bevölkerungsreichste, technisch fortgeschrittenste und fleißigste Land Kontinentaleuropas einen furchtbaren Rückschlag.“"
verfickt,4154,B2,Adjektiv,scheinbar mit einem Fluch belegt,,"verdammt, verflixt, verflucht",Dieses verfickte Auto ist schon wieder kaputt.
ausführlich,4155,B2,Adjektiv,"ins Einzelne gehend, eingehend","ins Einzelne gehend, eingehend",,"Eine Gebrauchsanweisung muss so ausführlich sein, dass alle wichtigen Informationen in ihr enthalten sind."
strikt,4156,B2,Adjektiv,ohne jede Einschränkung; keine Ausnahme oder Widerspruch zulassend,ohne jede Einschränkung | genau | streng,"streng, doktrinär",Die Teilnehmer der Studie sind zu strikter Geheimhaltung des Ablaufs verpflichtet.
sparsam,4157,B2,Adjektiv,"so, dass eine Ressource  möglichst lange reicht; wenig verbrauchend","wenig verbrauchend, mit wenigem auskommend | spärlich, nicht reichlich | wenig",,Meine Großeltern waren sehr sparsame Menschen.
totlachen,4158,B2,Verb,"heftig, kräftig Freude zeigen","übermäßig, ohne Aufhören (über etw.) lachen",,"Du lachst dich tot, wenn du hörst, was passiert ist."
mittwochs,4159,B2,Adverb,"jeweils am Mittwoch, an Mittwochen",an jedem wiederkehrenden Mittwoch,,Gebadet wird bei uns mittwochs!
gedeihen,4160,B2,Verb,sich im Wachstum gut entwickeln; gut wachsen,"wachsen, sich (gut) entwickeln | in seiner Entwicklung fortschreiten","prosperieren, florieren",Meine Bäumchen im Blumentopf gedeihen gar prächtig.
nähren,4161,B2,Verb,etwas wachsen und mehr oder bedeutender werden lassen,"jmdn., sich ernähren | von etw. leben, etw. als Nahrung zu sich nehmen | jmds. wirtschaftliche Bedürfnisse bestreiten, jmdn. unterhalten",,Die Beobachtungen nähren meinen Verdacht.
zugunsten,4162,B2,Postp,zum Vorteil oder Nutzen von jemandem oder etwas,"zu jmds., einer Sache Gunsten, Vorteil",,Zugunsten meines Freundes habe ich diesmal verzichtet.
wasserdicht,4163,B2,Adjektiv,undurchlässig für Wasser oder auch andere Flüssigkeiten,undurchlässig für Wasser | unanfechtbar | ;,wasserundurchlässig,Diese billige Uhr ist nicht wasserdicht.
hohl,4164,B2,Adjektiv,ohne Inhalt,"im Innern ohne Inhalt, unausgefüllt, leer, ausgehöhlt | einwärtsgebogen, konkav, muldenförmig vertieft | wie aus einem leeren Raum kommend, tief und dumpf klingend","konkav, bedeutungslos, dumpf, inhaltslos, leer",Der hohle Baum bietet Kleintieren einen Unterschlupf.
schrubben,4165,B2,Verb,"mit Wasser, Reinigungsmittel und einer Bürste mit  oder ohne Stiel reinigen; säubern","etw., jmdn., sich mit einer Bürste kräftig reibend säubern | etw. grob mit dem Hobel bearbeiten",,"„Dort begann die Mutter zu schrubben, die Handflächen auf den Lappen gestützt, die Unterarme, vor und zurück, aus den Ellenbogen heraus, vor und zurück, dann mit durchgestreckten Armen aus den Schulterblättern heraus, vor und zurück.“"
weiterspielen,4166,B2,Verb,im Spiel  fortsetzen/fortfahren,"fortfahren zu spielen | abspielen, weitergeben",,"Nein, Mama! Nicht stören! Wir wollen weiterspielen! Ich bin noch gar nicht hungrig!"
aufrufen,4167,B2,Verb,jemanden zu einer Aktion auffordern,den Namen eines einzelnen aus einer Menge zu einem bestimmten Zweck (laut) rufen | eine Ware zur Belieferung freigeben | Geld außer Kurs setzen,,"Ziehen Sie eine Nummer, Sie werden dann aufgerufen."
verrichten,4168,B2,Verb,eine Aktivität oder Arbeit ausführen,"etw. tun, ausführen, erledigen",,Der Säugling verrichtete seine Notdurft in die Windel.
bedingt,4169,B2,Adjektiv,nur unter bestimmten Bedingungen geschehend,eingeschränkt | mit Vorbehalt | von bestimmten Bedingungen abhängig,,"„Aber wie viele von staatlich beauftragten Mördern, Soldaten, Juristen und Polizisten - was mitunter alles ein und dasselbe ist - verkürzte Menschenleben hat es gegeben, von denen niemand mehr etwas weiß, viele, um die nie jemand geweint hat, weil ganze Familien und Dörfer ausgerottet worden sind, ohne daß über die Toten Akten angelegt waren. Da gibt es eine durch die Massenhaftigkeit des Unrechts bedingte Unfähigkeit zu trauern. Alfreda Woz´niak und Michal Piotrowski sind, so hoffe ich, mit dem Bewußtsein nach Polen zurückgekehrt, daß es heute in Deutschland Menschen gibt, die mit Trauer, Zorn und Veränderungswillen reagieren auf das, was in der Zeit kollektiver Rechtsblindheit gerade auch von deutschen Juristen an Unrecht getan worden ist.“"
veraltet,4170,B2,Adjektiv,nicht mehr aktuell,"alt geworden | (von neueren, vor allem technischen Entwicklungen) überholt und nicht mehr nützlich | ;",,Mein Großvater hat veraltete Ansichten.
unterziehen,4171,B2,Verb,eine  Maßnahme an oder mit sich durchführen lassen,"ein Kleidungsstück, Wäschestück unter ein anderes Kleidungsstück ziehen | ein tragendes Bauelement zur Abstützung unter etw. ziehen | etw. ohne zu rühren unter den Teig, eine Masse bringen und vermengen, etw. unterheben",auf sich nehmen,Ende des Jahres unterzog sie sich dann doch einer Chemotherapie.
furchterregend,4172,B2,Adjektiv,"so, dass man davor Angst bekommt; den Sprecher ängstigend",,"schaurig, angsterregend, angsteinflößend, furchteinflößend, fürchterlich",Der Künstler erstellt detailgetreue Nachbauten von furchterregenden Dinosauriern.
entzünden,4173,B2,Verb,in Brand setzen,"zum Brennen bringen, anzünden | Feuer fangen, zu brennen beginnen | jmdn., etw. anregen, in Aufregung, Erregung versetzen",,Entzünde das Feuer mit der Fackel!
kultiviert,4174,B2,Adjektiv,"das Wesen oder das Benehmen einer Person beschreibend: hoch gebildet, vornehm, zivilisiert","geistig und sittlich verfeinert, kulturvoll | sehr gepflegt | von vornehmer, gesitteter Lebensart, zivilisiert",,Sein kultiviertes Benehmen lässt jedes Gespräch zu einem Vergnügen werden.
undenkbar,4175,B2,Adjektiv,"nicht vorstellbar, nicht in Gedanken möglich, zugänglich","so, dass man es sich nicht vorstellen kann, unvorstellbar",,"„Ein gemeinsames Abendessen mit Freunden, Camping oder an den Badesee – an schlechten Tagen undenkbar.“"
fruchtbar,4176,B2,Adjektiv,zur  Vermehrung fähig,"reiche Früchte tragend | reiche Nachkommenschaft erzeugend | ertragreich, ersprießlich",,Die Fische in meinem Aquarium sind sehr fruchtbar.
erlernen,4177,B2,Verb,"etwas begreifen und üben , meist über längere Zeit hinweg und mit dem Ziel, es zu können/beherrschen","sich etw. durch Lernen aneignen, etw. lernen",,"„Man kann, weil Finnisch eine finnougrische Sprache ist, mithin keiner zivilisierten Sprachgruppe angehört, nicht auf andere Sprachen zurückgreifen, um es zu erlernen.“"
leichtfertig,4178,B2,Adjektiv,nach unzureichender Überlegung über etwaige Konsequenzen,"unbesonnen, unüberlegt | moralisch bedenkenlos, nicht einwandfrei",,Solch ein Angebot für einen Praktikumsplatz schlägt man doch nicht einfach so leichtfertig aus!
polnisch,4179,B2,Adjektiv,"zum Volk der Polen gehörend, sich darauf beziehend",,,Ich habe eine polnische Freundin.
schleunigst,4180,B2,Adverb,"so schnell, wie es geht; auf der Stelle","eilends, auf schnellstem Wege, schnellstens, sofort","unverzüglich, sogleich, gleich, schnellstens, sofort","Ich muss schleunigst in den Schatten, sonst kriege ich einen Sonnenstich."
strahlend,4181,B2,Adjektiv,"von einer Strahlenquelle ausgehende Energie, Wellen oder Materie","helles, durchdringendes Licht aussenden, das sich allseitig verbreitet oder in einem Strahl in eine bestimmte Richtung fällt, leuchten | hell, sauber und durchdringend tönend, erklingend | in glänzendes Licht getaucht sein, hell erleuchtet sein","prächtig, radioaktiv, grinsend, glücklich, lichterfüllt",In dem ehemaligen Salzstock [der Schachtanlage Asse] lagern etwa 126.000 Fässer mit leicht- und mittelstark strahlendem Atommüll.
eifrig,4182,B2,Adjektiv,großen persönlichen Einsatz bei der Arbeit an einer Sache aufweisend,"mit Eifer, nie ermüdend","strebsam, emsig, fleißig",Er war schon immer ein eifriger Schüler mit guten Erfolgen.
dazugehören,4183,B2,Verb,Teil von etwas sein,"zu dem eben Erwähnten, zu diesem Personenkreis gehören",,Ich habe nie zum Kreis der coolen Mädchen in unserer Klasse dazugehört.
anfreunden,4184,B2,Verb,"mit jemandem eine Freundschaft eingehen, Freundschaft schließen; jemandes Freund werden","sich mit jmdm., etw. befreunden","befreunden, abfinden",Die neuen Nachbarskinder werden sich sicher bald anfreunden.
allerhand,4185,B2,Adjektiv,ziemlich viel,vielerlei | ziemlich stark,"mehrerlei, vielerlei, unterschiedlich, unbeschreiblich, etliche","Allerhand Menschen waren auf den Beinen, um ja noch rechtzeitig dort zu sein."
unecht,4186,B2,Adjektiv,falsch  oder nachgemacht,"künstlich (dem Echten täuschend) nachgemacht, imitiert, falsch | gefälscht | sich oder anderen vorgetäuscht",,Sie trägt unechten Schmuck.
verladen,4187,B2,Verb,Frachtgüter oder Personen auf ein Transportmittel bringen,"etw., jmdn. zur Beförderung in, auf ein Fortbewegungsmittel platzieren, bewegen, bringen | jmdn. hereinlegen, hinters Licht führen, anführen | sich mit hohem spielerischen Können gegen einen oder mehrere Spieler der gegnerischen Mannschaft durchsetzen","verstauen, hinters Licht führen, anschmieren, täuschen, verarschen",„Das Vieh soll zusammengetrieben und auf einen Transporter verladen werden.“
mental,4188,B2,Adjektiv,"geistig, den Geist oder das Denken betreffend, zum Geist gehörig","den menschlichen Geist, Verstand betreffend | ; | im Geiste, gedanklich","gedanklich, heimlich, geistig, mentalis",Er ist mental vielen überlegen.
pseudonym,4189,B2,Adjektiv,"unter einem Decknamen  auftretend, lebend, verfasst","einen Decknamen verwendend | ; | unter einem fiktiven, angenommenen Namen (auftretend, erscheinend)","getarnt, verborgen, verhüllt, verdeckt",Es handelt sich um ein pseudonym erschienenes Buch.
willkürlich,4190,B2,Adjektiv,"nur seinem Willen folgend, diktatorisch","auf Willkür beruhend, ohne Rücksicht auf objektive Gegebenheiten, je nach Laune | vom Willen gesteuert","definitorisch, bewusst, per definitionem, par ordre du mufti, diktatorisch","„Neben Beschränkungen der Sportarten selbst beispielweise war das im Westen, aber auch in Polen und der Tschechoslowakei sehr populäre Drachenfliegen in der DDR verboten, wurden manche der stadtnahen Flugplätze wie Saarmund und Eggersdorf willkürlich wegen Fluchtgefahr geschlossen.“"
gegenwärtig,4191,B2,Adjektiv,"jetzig, in der Gegenwart geschehend; sich im zeitlichen Jetzt zwischen der Vergangenheit und der Zukunft ereignend","jetzig, derzeitig | jetzt, heute | erinnerlich","aktuell, anwesend, derzeitig, jetzig, zurzeit",Zum gegenwärtigen Zeitpunkt können wir noch nichts sagen.
woandershin,4192,B2,Adverb,"an einen anderen, nicht näher bestimmten Ort, auf eine andere, unbestimmte Position","an einen anderen Ort, eine andere Stelle",,"Komm, wir gehen woandershin."
missverstehen,4193,B2,Verb,inhaltlich oder akustisch nicht richtig verstehen/einschätzen,"eine Aussage, Handlung (ungewollt) falsch verstehen oder deuten",,"„Das dritte Kapitel widmet sich dem Begriff, der wohl am meisten mit Charles Darwin verknüpft wird – und am meisten missverstanden wurde: der ‚Kampf ums Dasein‘. Denn so martialisch wollte der Autor nicht interpretiert werden.“"
zügeln,4194,B2,Verb,"ein Reittier durch Straffen der Zügel zurückhalten, beruhigen, bremsen","bei einem Reittier, Zugtier die Zügel anziehen, um es zurückzuhalten, zum Stehen zu bringen","kontrollieren, transportieren, zurückhalten, dislozieren, beherrschen",Er konnte das aufgeregte Tier kaum zügeln.
beispielsweise,4195,B2,Adverb,in der Art und Weise eines Beispiels,zum Beispiel,"zum Exempel, zum Beispiel, beispielshalber, beispielhaft","Manche Tätigkeiten strengen den menschlichen Körper an, beispielsweise das Rennen über eine lange Strecke."
unklug,4196,B2,Adjektiv,"nicht gut durchdacht, taktisch ungeschickt","anderen gegenüber undiplomatisch, psychologisch nicht geschickt",,
veräppeln,4197,B2,Verb,"jemanden an der Nase herumführen, sich einen Spaß mit jemandem erlauben",jmdn. zum Besten haben,,Ich lasse mich von euch doch nicht veräppeln.
wichsen,4198,B2,Verb,Leder mit Schuhcreme oder einem Lederfett einreiben,"etw. mit Wachs, einem wachsartigen Mittel einreiben, dass es glänzt","onanieren, jemandem die Fresse polieren, masturbieren, prügeln, wienern",Die Schuhe waren frisch gewichst.
eingeschränkt,4199,B2,Adjektiv,"mit Einschränkungen verbunden, begrenzt auf etwas/jemanden, einer Begrenzung unterliegend","etw., sich in Schranken halten, einer Sache, sich Schranken setzen, etw., sich beschränken | sich nach seinen beschränkten Mitteln richten, bescheiden leben",begrenzt,"„Politische Unsicherheiten oder Rücksichtnahmen mögen auch ein Grund dafür gewesen sein, dass dieses Ortsverzeichnis erst im fünften Jahr nach Kriegsende und nur für einen eingeschränkten Benutzerkreis erscheinen konnte.“"
einschenken,4200,B2,Verb,Flüssigkeit in eine Gefäß/Glas gießen,"(jmdm., sich) ein Getränk in ein Gefäß eingießen | ; | etw. (ein Trinkgefäß) mit etw. befüllen",,Schenk doch den Damen noch ein Tässchen Kaffee ein!
abdrehen,4201,B2,Verb,etwas mit einer drehenden Bewegung ablösen,"etw. zu weit herumdrehen, sodass die Verbindung zerrissen wird | sich, etw. abwenden | eine andere Richtung einschlagen","schnitzen, korrigieren, entfernen, drechseln, zerspanen",Vor lauter Langeweile drehte er sämtliche Schrauben ab.
unterlassen,4202,B2,Verb,etwas nicht tun,"etw. nicht tun | etw. bewusst, aus bestimmten Gründen nicht tun, etw. bleibenlassen | aufhören, verzichten, etw. zu tun",,Unterlassen Sie das!
interpretieren,4203,B2,Verb,"den Sinn in dem, was beobachtet oder wahrgenommen wird, erschließen","etw. auslegen, deuten, erklären | etw. künstlerisch wiedergeben","auslegen, deuten, vorspielen",Darwin interpretierte seine Beobachtungen als Evolution.
scharfsinnig,4204,B2,Adjektiv,"mit scharfem Sinn, mit scharfem/hohem Verstand, hochintelligent",,,Ingrid ist eine der scharfsinnigsten Mädchen aus der Klasse.
ungeheuerlich,4205,B2,Adjektiv,"sehr groß, monströs","empörend, unerhört | ungeheuer, riesig | nicht geheuer, unheimlich",ungeheuer,"Das ist eine ungeheuerliche Behauptung, wo sind die Beweise?"
gutgehen,4206,B2,Verb,sich positiv/gut entwickeln,"in guter gesundheitlicher Verfassung sein | ; | in einer Situation, in einer Umgebung, in jmds. Gesellschaft angenehme, positive Gefühle haben, zufrieden sein","entwickeln, funktionieren, gehen, gelingen, glänzend","Er hat einen kleinen Laden mit Internethandel, ihm geht es gut."
plätschern,4207,B2,Verb,ruhig fließen,"das Wasser lässt dadurch, dass es in Bewegung ist, monoton leise, helle, kurze Geräusche hören | etw., jmd. versetzt Wasser in Bewegung, sodass es monoton leise, helle, kurze Geräusche hören lässt","säuseln, dahinplätschern, platschen, murmeln",Das Wasser plätschert den Bach hinab.
hilfsbereit,4208,B2,Adjektiv,"bereit, jemandem zu helfen",bereit zu helfen,,"Als ein Fahrgast den richtigen Bahnsteig suchte, war die Bahnangestellte sehr hilfsbereit."
lässig,4209,B2,Adjektiv,"leger, ungezwungen, ohne Förmlichkeit","ungezwungen, leger | träge | nachlässig","cool, stark, salopp, nachlässig, leichtfertig","Seine lässige Art kommt bei den einen an, die anderen verabscheuen ihn dafür schon fast."
lateinisch,4210,B2,Adjektiv,zur Sprache Latein gehörig,"in der Sprache der alten Römer | für die alten Römer eigentümlich, charakteristisch",,Ich habe wieder ein paar lateinische Wörter gelernt.
teuflisch,4211,B2,Adjektiv,"in der Art des Teufels, äußerst böse","(höchst) bösartig, niederträchtig, infam, boshaft | wie der Teufel | ;","diabolisch, bösartig, satanisch, übertrieben, boshaft","Der teuflische Plan, den die Realschüler gegen die Gymnasiasten ausgeheckt hatten, misslang."
mithelfen,4212,B2,Verb,"jemandem bei einer Sache helfen; helfend an etwas mitwirken, teilnehmen",zusammen mit anderen bei etw. helfen,,"„Und die Schwester sollte Geld verdienen, die noch ein Kind war mit ihren siebzehn Jahren, und der ihre bisherige Lebensweise so sehr zu gönnen war, die daraus bestanden hatte, sich nett zu kleiden, lange zu schlafen, in der Wirtschaft mitzuhelfen, an ein paar bescheidenen Vergnügungen sich zu beteiligen und vor allem Violine zu spielen?“"
anderweitig,4213,B2,Adjektiv,"sonstig, daneben vorhanden, weiterer/-e/-es, anderer/-e/-es","sonst noch vorhanden, sonstig, weiter…, ander… | anderswo erfolgend, an anderer Stelle | anderswohin erfolgend, an eine andere Stelle, Person",,Dietmar stehen neben dem Reetdachdecken keine anderweitigen Erwerbsmöglichkeiten offen.
instinktiv,4214,B2,Adjektiv,"einem Trieb, angeborenen Mechanismen folgend","einem Instinkt folgend, triebhaft | gefühlsmäßig","gefühlsmäßig, intuitiv","„Vögel reagieren instinktiv, wenn ihnen etwas in der Behausung nicht zusagt.“"
verlässlich,4215,B2,Adjektiv,"so, dass man sich darauf verlassen kann","zuverlässig | vertrauenswürdig | sicher, fest",zuverlässig,Ein Hund ist ein verlässlicher Jagdpartner.
wogegen,4216,B2,Adverb,gegen was,"gegen welche Sache, Tätigkeit | gegen welche eben erwähnte Sache, Tätigkeit",,Wogegen bist du nun noch mal ganz genau allergisch?
niederlassen,4217,B2,Verb,einen Gegenstand senken/auf den Boden legen,"sich setzen | als Arzt, Photograph an einem Ort ansässig werden, sich etablieren","hinsetzen, Platz nehmen, ansiedeln, herablassen, herunterlassen","„Ist der Krahn an Bord geschwungen, so werden die Körbe auf das Kommando ‚Hier‘ niedergelassen, ausgeschüttet und durch große eiserne Trichter in die Kohlenbunker geschaufelt, wo die Heizer über sie herfallen.“ [Anmerkung: ‚Krahn‘ ist veraltete deutsche Rechtschreibung]"
sozial,4218,B2,Adjektiv,"die Gesellschaft betreffend, menschliches Miteinander betreffend","den Zusammenhang, das Zusammenleben der Menschen in der Gesellschaft betreffend | gesellig lebend, nicht solitär | die ökonomische und politische Struktur einer gegebenen Gesellschaft betreffend",,"Der Stadtteil ist ein sozialer Brennpunkt, es existieren dort gesellschaftliche Probleme."
verächtlich,4219,B2,Adjektiv,"jemanden missachtend, verachtend; keinen Respekt einem anderen gegenüber zeigend; Verachtung hegend","Verachtung ausdrückend, abfällig, abschätzig, geringschätzig","niederträchtig, respektlos, geringschätzig, abschätzig, höhnisch",Er machte dazu nur eine verächtliche Bemerkung.
hektisch,4220,B2,Adjektiv,"von nervöser Unruhe, nervöser Betriebsamkeit","überstürzt betriebsam, fieberhaft eilig | schwindsüchtig","aufgeregt, unruhig, ruhelos, geschäftig, betriebsam",Die Menschen im Marktgewusel stromerten hektisch von Stand zu Stand.
unbeschreiblich,4221,B2,Adjektiv,"in seiner Eigenart so ausgeprägt, dass es sich einer Schilderung entzieht","so geartet, dass man es nicht beschreiben kann | nicht genau zu erklären, undefinierbar | alles Übliche übertreffend, sehr groß",,"„Jedenfalls wussten die Jungen sofort, dass sie da etwas Einzigartiges entdeckt hatten: ‚Unsere Freude war unbeschreiblich, eine Bande von Wilden hätte beim Kriegstanz nicht ausgelassener sein können!‘“"
widerwärtig,4222,B2,Adjektiv,"dem guten Geschmack, persönlicher Empfindung oder moralischen Grundsätzen entgegenstrebend","höchst unangenehm auf das Empfinden wirkend | das ästhetische Empfinden verletzend | höchst unsympathisch, (moralisch) verabscheuenswürdig","abscheulich, abstoßend, widerlich, eklig, ekelhaft","Kaffee vom Vortag, der in der Mikrowelle ein weiteres Mal erhitzt wird, schmeckt absolut widerwärtig!"
unreif,4223,B2,Adjektiv,nicht den vollen Reifegrad erreicht,"nicht reif | (noch) nicht ausgeprägt, unfertig | (noch) nicht genügend durchdacht","noch feucht hinter den Ohren, grün, unausgegoren, noch grün hinter den Ohren",Die Beeren sind noch unreif. Bei der Reife werden sie dunkelrot.
glaubhaft,4224,B2,Adjektiv,"so dargestellt, dass es für wahr gehalten werden kann","so, dass es für wahr gehalten wird, geglaubt wird","plausibel, glaubwürdig, authentisch","Er konnte mir glaubhaft versichern, dass er die Wahrheit sagt."
verstellen,4225,B2,Verb,durch andere Objekte unzugänglich machen bzw. verstecken,"etw. unzugänglich machen, versperren | etw. an den falschen Platz stellen, falsch einordnen | die Einstellung von etw. verändern","umstellen, schauspielern, zustellen","„Nel bleibt dabei, dass in der Mehrfachsteckdose kein Platz für einen weiteren Ventilator gewesen sei. Ob die Steckdose verstellt wurde oder nicht, spiele gar keine Rolle.“"
ungeeignet,4226,B2,Adjektiv,nicht geeignet,nicht geeignet | unzweckmäßig,,Zum Essen einer Suppe ist eine Gabel denkbar ungeeignet.
erwählt,4227,B2,Adjektiv,"für eine bestimmte Aufgabe ausgesucht, bevorzugt","jmdn., etw. auswählen, sich für jmdn., etw. entscheiden | jmdn., etw. durch Abstimmung wählen","ausgewählt, erkoren",Der erwählten Person werden besondere Privilegien zugestanden.
abschlachten,4228,B2,Verb,ein Tier vorzeitig oder notgedrungen schlachten,ein Tier schlachten | jmdn. morden,"kaltmachen, hinmorden, abmurksen, niedermachen, morden",Die von der Schweinepest betroffenen Tiere mussten abgeschlachtet werden.
sterblich,4229,B2,Adjektiv,"mit begrenzter Lebenszeit, unfähig dem Tode dauerhaft zu entgehen","dem Tode unterworfen, vergänglich | sehr, in höchstem Grade",,Wir sind alle sterblich.
fluten,4230,B2,Verb,in großer Menge strömen,"stark strömen, fließen | in starker Bewegung sein | etw. unter Wasser setzen, volllaufen lassen","quellen, einfallen, eindringen, wogen, strömen",Das Wasser flutet über die Deiche.
übereinstimmen,4231,B2,Verb,mit jemandem einer Meinung oder Ansicht sein,"etw. ist auf etw. abgestimmt, harmoniert mit etw., passt zu etw. | sich inhaltlich, im Wortlaut decken | mit jmdm. (in etw.) einer Meinung sein",,Können wir darin übereinstimmen und dann die Sache abschließen?
furzen,4232,B2,Verb,Verdauungsgase rektal entweichen lassen,eine Blähung mit Geräusch abgehen lassen,"einen Koffer stehen lassen, einen fahren lassen, koffern, flatulieren, pupen",„Warum rülpset und furzet ihr nicht ? Hat es euch nicht geschmecket?“ zugeschrieben: Martin Luther
lala,4233,B2,Adjektiv,"einigermaßen, leidlich, okay, mäßig gut","einigermaßen, erträglich",einigermaßen,„Wie war denn die Theaterpremiere?“ – „So lala.“
